"","SVM_LABEL","SVM_PROB"
"1","1",0.659832018742619
"2","1",0.613865507881771
"3","-1",0.723805329353475
"4","-1",0.565290398078045
"5","1",0.667930149970467
"6","1",0.616100211744845
"7","-1",0.610677256295719
"8","1",0.699262747201281
"9","1",0.641207260669447
"10","1",0.536452025656705
"11","1",0.613865507881771
"12","1",0.865304215649313
"13","1",0.58037108763734
"14","-1",0.698050045621379
"15","-1",0.645126794399959
"16","1",0.61878599105076
"17","1",0.794533604553143
"18","1",0.781763816733768
"19","1",0.781763816733768
"20","1",0.781763816733768
"21","1",0.61878599105076
"22","-1",0.52365404677663
"23","1",0.63794797184962
"24","1",0.613865507881771
"25","1",0.667930149970467
"26","1",0.681096209567781
"27","-1",0.627844472456786
"28","-1",0.522849244857335
"29","1",0.65921727454744
"30","1",0.628134082775189
"31","-1",0.539978368020899
"32","1",0.614807862368538
"33","1",0.613865507881771
"34","1",0.573576523905178
"35","1",0.664684258954889
"36","-1",0.5
"37","-1",0.541315905905429
"38","1",0.77461288713545
"39","1",0.616100211744845
"40","-1",0.527825629533582
"41","1",0.613865507881771
"42","1",0.653563319778418
"43","1",0.781763816733768
"44","1",0.781763816733768
"45","1",0.794533604553143
"46","1",0.781763816733768
"47","1",0.682521021640246
"48","1",0.678051751508859
"49","1",0.518011152610155
"50","1",0.507150917079669
"51","1",0.613865507881771
"52","1",0.656993485658737
"53","1",0.613865507881771
"54","1",0.58037108763734
"55","1",0.659379510874305
"56","1",0.794721212779419
"57","1",0.641207260669447
"58","1",0.613865507881771
"59","-1",0.698050045621379
