"","SVM_LABEL","SVM_PROB"
"1","-1",0.583454576282241
"2","1",0.653563319778418
"3","1",0.671358739495878
"4","1",0.783835552680099
"5","1",0.803191693913648
"6","1",0.764032486532111
"7","1",0.699923453056959
"8","1",0.664684258954889
"9","1",0.653563319778418
"10","1",0.841808923728314
"11","1",0.788846757471213
"12","1",0.788846757471213
"13","1",0.841808923728314
"14","1",0.842660494355909
"15","1",0.842660494355909
"16","1",0.842660494355909
"17","1",0.842660494355909
"18","1",0.854979766121949
"19","1",0.614384485965882
"20","1",0.514133878804598
"21","1",0.781438748772835
"22","-1",0.601707172066861
"23","1",0.701843865435873
"24","1",0.514133878804598
"25","-1",0.60732869353403
"26","1",0.883319981885217
"27","1",0.883319981885217
"28","1",0.916954251263905
"29","1",0.84173059311875
"30","1",0.508851936153459
"31","1",0.514133878804598
"32","1",0.819044585069902
"33","1",0.819044585069902
"34","1",0.613865507881771
"35","1",0.699848211720222
"36","1",0.613865507881771
"37","1",0.514133878804598
