"","SVM_LABEL","SVM_PROB"
"1","1",0.79681095729204
"2","1",0.772382786825931
"3","1",0.784544174269671
"4","-1",0.518503424306747
"5","1",0.743481366519606
"6","1",0.769816043178927
"7","1",0.769816043178927
"8","1",0.769816043178927
"9","-1",0.685970999970511
"10","-1",0.5
"11","1",0.769816043178927
"12","1",0.785839025631834
"13","1",0.781804790930171
"14","1",0.769816043178927
"15","1",0.769816043178927
"16","1",0.788666390288867
"17","1",0.779356043670383
"18","1",0.745058523279931
"19","1",0.726309172777157
"20","1",0.769816043178927
"21","1",0.78896783285824
"22","-1",0.5
"23","1",0.778612469977098
"24","1",0.769816043178927
"25","1",0.817356553759717
"26","1",0.769816043178927
"27","1",0.803938193107831
"28","1",0.809803614641175
"29","1",0.770149994912192
"30","1",0.743481366519606
"31","1",0.769816043178927
