"","SVM_LABEL","SVM_PROB"
"1","1",0.580171022337158
"2","-1",0.597125755905995
"3","1",0.719053145404455
"4","1",0.581030730950028
"5","-1",0.645219055217995
"6","1",0.701179260603294
"7","1",0.730442565507045
"8","1",0.730442565507045
"9","1",0.730442565507045
"10","1",0.737569940435601
"11","1",0.682573056429261
"12","1",0.742818373244656
"13","-1",0.645219055217995
"14","1",0.730442565507045
"15","1",0.742818373244656
"16","-1",0.645219055217995
"17","1",0.730442565507045
"18","1",0.742818373244656
