"","SVM_LABEL","SVM_PROB"
"1","1",0.791389178746828
"2","1",0.605800756732347
"3","1",0.699107398128667
"4","1",0.8093478843617
"5","1",0.676306332152704
"6","-1",0.649622108714063
"7","1",0.68490787481738
"8","-1",0.5
"9","-1",0.693113491428978
"10","1",0.705775807219444
"11","1",0.73815353867903
"12","1",0.79109604583647
"13","-1",0.5
"14","-1",0.5
"15","-1",0.5
"16","-1",0.685319858249068
"17","-1",0.5
"18","1",0.769816043178927
"19","1",0.8093478843617
"20","1",0.676306332152704
"21","1",0.68490787481738
"22","-1",0.5
"23","-1",0.693113491428978
"24","1",0.705775807219444
"25","1",0.79109604583647
"26","-1",0.5
"27","1",0.779969125919636
"28","1",0.605800756732347
"29","1",0.8093478843617
"30","1",0.676306332152704
