"","SVM_LABEL","SVM_PROB"
"1","1",0.781804790930171
"2","-1",0.670212062444254
"3","1",0.79681095729204
"4","1",0.807165018319375
"5","1",0.681375766906491
"6","1",0.692644958878521
"7","1",0.752333508973148
"8","1",0.783724882232256
"9","1",0.796390052139364
"10","1",0.805397809621117
"11","1",0.78896783285824
"12","1",0.687690640067843
"13","1",0.647232381914235
"14","-1",0.658930839846644
"15","-1",0.5
"16","1",0.780622790115632
"17","1",0.780617813490107
"18","1",0.781000687700388
"19","1",0.6968070698375
"20","1",0.672971555537754
"21","1",0.819094951685981
"22","1",0.795538124460022
"23","-1",0.542176174766239
"24","1",0.744653592021828
"25","1",0.791891931831198
"26","1",0.773569298483654
"27","1",0.773569298483654
"28","1",0.751876200519193
"29","1",0.781804790930171
"30","-1",0.670212062444254
"31","1",0.807165018319375
"32","1",0.699982755616095
"33","1",0.752333508973148
"34","1",0.743481366519606
"35","1",0.769816043178927
"36","1",0.687690640067843
"37","1",0.768286679682741
"38","1",0.78211486955146
"39","1",0.735008896373268
"40","1",0.790504999350467
"41","1",0.780617813490107
"42","1",0.744653592021828
"43","1",0.773569298483654
"44","1",0.773569298483654
"45","1",0.751876200519193
"46","1",0.722527740247857
"47","1",0.807503099950663
"48","1",0.742906940548468
"49","1",0.681771643141319
"50","1",0.790917031653003
"51","1",0.773569298483654
"52","1",0.769816043178927
"53","1",0.772614023712379
"54","1",0.781028812963717
"55","1",0.760393494143497
"56","1",0.78896783285824
"57","1",0.788568188998298
"58","1",0.78896783285824
"59","1",0.748500785961607
"60","1",0.822354405636599
"61","1",0.766821563240785
"62","1",0.610435080737808
"63","-1",0.649641502166306
"64","1",0.750984436321552
"65","1",0.796813947809015
"66","1",0.769816043178927
"67","1",0.769816043178927
"68","1",0.773515554125098
"69","1",0.75371056095139
"70","1",0.813338877548897
"71","1",0.740257952603452
"72","1",0.774166455628099
"73","1",0.789421672679048
"74","1",0.776743763339186
"75","1",0.793823097455348
"76","1",0.775796556667899
"77","1",0.773061951805246
"78","1",0.76336274088968
"79","1",0.711316021306832
"80","-1",0.649622108714063
"81","1",0.813803130397355
"82","1",0.713162216798892
"83","1",0.8234751015826
"84","1",0.742906940548468
"85","1",0.752620109671126
"86","1",0.79681095729204
"87","1",0.77829954378635
"88","1",0.769816043178927
"89","1",0.783616274086526
"90","1",0.743481366519606
"91","-1",0.654859490933922
"92","1",0.79681095729204
"93","1",0.686003802285939
"94","1",0.769816043178927
"95","1",0.790862783285929
"96","1",0.765777300849007
"97","1",0.769816043178927
"98","1",0.734744436779185
"99","1",0.743481366519606
"100","1",0.785839025631834
"101","-1",0.649641502166306
"102","1",0.775224252285337
"103","1",0.77286578041615
"104","1",0.769816043178927
"105","1",0.769816043178927
"106","1",0.638531437373406
"107","1",0.681771643141319
"108","1",0.719093868235186
