"","SVM_LABEL","SVM_PROB"
"1","1",0.611419753770736
"2","1",0.667948020168362
"3","1",0.807806896627719
"4","-1",0.659879400914698
"5","-1",0.646265600810523
"6","1",0.965335948183009
"7","1",0.646449985726917
"8","1",0.656156621091687
"9","1",0.679808270645334
"10","1",0.557288728199282
"11","1",0.617202197501234
"12","1",0.613865507881771
"13","1",0.965335948183009
"14","1",0.533747243881869
"15","-1",0.646265600810523
"16","-1",0.588164440775303
"17","-1",0.622348771200001
"18","1",0.659379510874305
"19","1",0.611419753770736
"20","1",0.679808270645334
"21","1",0.613865507881771
"22","1",0.533747243881869
"23","-1",0.646265600810523
"24","-1",0.659879400914698
"25","1",0.807806896627719
"26","1",0.965335948183009
